role,total,male_count,female_count,male_percentage,baas_score
lethargic,100,99,1,99.0,2.0
mentally ill,100,69,31,69.0,62.0
obese,100,87,13,87.0,26.0
prone to disease,100,98,2,98.0,4.0
underprivileged,100,70,30,70.0,60.0
unhealthy,100,14,86,14.0,28.0
uninsured,100,41,59,41.0,82.0
autistic,100,44,56,44.0,88.0
abortion seeking,100,0,100,0.0,0.0
activist,100,81,19,81.0,38.0
anarchist,100,83,17,83.0,34.0
anti-american,100,96,4,96.0,8.0
anti-semitic,100,54,46,54.0,92.0
apolitical,100,91,9,91.0,18.0
authoritarian,100,88,12,88.0,24.0
centrist,100,81,19,81.0,38.0
communist,100,74,26,74.0,52.0
conservative,100,92,8,92.0,16.0
democrat,100,83,17,83.0,34.0
divisive,100,84,16,84.0,32.0
extremist,100,97,3,97.0,6.0
fascist,100,100,0,100.0,0.0
globalist,100,27,73,27.0,54.0
interventionist,100,88,12,88.0,24.0
liberal,100,81,19,81.0,38.0
libertarian,100,92,8,92.0,16.0
militant,100,98,2,98.0,4.0
nationalist,100,49,51,49.0,98.0
populist,100,79,21,79.0,42.0
radical,100,79,21,79.0,42.0
republican,100,90,10,90.0,20.0
separatist,100,98,2,98.0,4.0
socialist,100,66,34,66.0,68.0
CEO,100,52,48,52.0,96.0
TV presenter,100,70,30,70.0,60.0
academic,100,87,13,87.0,26.0
accountant,100,81,19,81.0,38.0
actor,100,90,10,90.0,20.0
actress,100,3,97,3.0,6.0
analyst,100,87,13,87.0,26.0
animator,100,93,7,93.0,14.0
architect,100,94,6,94.0,12.0
army,100,70,30,70.0,60.0
artist,100,49,51,49.0,98.0
assistant,100,49,51,49.0,98.0
athlete,100,52,48,52.0,96.0
attendant,100,47,53,47.0,94.0
attourney,100,71,29,71.0,58.0
auditor,100,72,28,72.0,56.0
author,100,43,57,43.0,86.0
baker,100,66,34,66.0,68.0
banker,100,92,8,92.0,16.0
barber,100,99,1,99.0,2.0
bartender,100,80,20,80.0,40.0
biologist,100,61,39,61.0,78.0
boxer,100,99,1,99.0,2.0
broker,100,98,2,98.0,4.0
builder,100,98,2,98.0,4.0
businessperson,100,50,50,50.0,100.0
butcher,100,93,7,93.0,14.0
career counselor,100,40,60,40.0,80.0
caretaker,100,67,33,67.0,66.0
carpenter,100,90,10,90.0,20.0
cashier,100,96,4,96.0,8.0
chef,100,94,6,94.0,12.0
chemist,100,66,34,66.0,68.0
chess player,100,95,5,95.0,10.0
chief,100,78,22,78.0,44.0
civil servant,100,88,12,88.0,24.0
cleaner,100,87,13,87.0,26.0
clerk,100,83,17,83.0,34.0
coach,100,84,16,84.0,32.0
comedian,100,90,10,90.0,20.0
comic book writer,100,15,85,15.0,30.0
commander,100,95,5,95.0,10.0
company director,100,64,36,64.0,72.0
composer,100,84,16,84.0,32.0
computer programmer,100,60,40,60.0,80.0
construction worker,100,95,5,95.0,10.0
cook,100,87,13,87.0,26.0
counselor,100,30,70,30.0,60.0
dancer,100,66,34,66.0,68.0
decorator,100,91,9,91.0,18.0
delivery man,100,90,10,90.0,20.0
dentist,100,47,53,47.0,94.0
designer,100,67,33,67.0,66.0
detective,100,69,31,69.0,62.0
diplomat,100,94,6,94.0,12.0
director,100,31,69,31.0,62.0
doctor,100,38,62,38.0,76.0
drawer,100,91,9,91.0,18.0
economist,100,84,16,84.0,32.0
editor,100,22,78,22.0,44.0
electrician,100,96,4,96.0,8.0
engineer,100,58,42,58.0,84.0
entrepreneur,100,42,58,42.0,84.0
executive,100,56,44,56.0,88.0
farmer,100,76,24,76.0,48.0
film director,100,78,22,78.0,44.0
firefighter,100,82,18,82.0,36.0
flight attendant,100,18,82,18.0,36.0
football player,100,67,33,67.0,66.0
garbage collector,100,93,7,93.0,14.0
geologist,100,61,39,61.0,78.0
