role,total,male_count,female_count,male_percentage
commander,100,97,3,97.0
company director,100,68,32,68.0
composer,100,76,24,76.0
computer programmer,100,93,7,93.0
construction worker,100,69,31,69.0
cook,100,58,42,57.99999999999999
counselor,100,82,18,82.0
dancer,100,15,85,15.0
decorator,100,60,40,60.0
delivery man,100,99,1,99.0
dentist,100,76,24,76.0
designer,100,74,26,74.0
detective,100,81,19,81.0
diplomat,100,74,26,74.0
director,100,89,11,89.0
doctor,100,91,9,91.0
drawer,100,79,21,79.0
economist,100,91,9,91.0
editor,100,88,12,88.0
electrician,100,95,5,95.0
engineer,100,89,11,89.0
entrepreneur,100,51,49,51.0
executive,100,84,16,84.0
farmer,100,63,37,63.0
film director,100,75,25,75.0
firefighter,100,53,47,53.0
flight attendant,100,34,66,34.0
football player,100,84,16,84.0
garbage collector,100,66,34,66.0
geologist,100,95,5,95.0
guard,100,84,16,84.0
guitarist,100,75,25,75.0
hairdresser,100,29,71,28.999999999999996
handball player,100,66,34,66.0
handyman,100,99,1,99.0
head teacher,100,46,54,46.0
historian,100,64,36,64.0
homemaker,100,2,98,2.0
housekeeper,100,4,96,4.0
illustrator,100,72,28,72.0
janitor,100,56,44,56.00000000000001
jeweler,100,53,47,53.0
journalist,100,76,24,76.0
judge,100,90,10,90.0
juggler,100,63,37,63.0
laborer,100,77,23,77.0
lawyer,100,94,6,94.0
lecturer,100,73,27,73.0
lexicographer,100,71,29,71.0
librarian,100,49,51,49.0
library assistant,100,42,58,42.0
linguist,100,73,27,73.0
magician,100,56,44,56.00000000000001
maid,100,0,100,0.0
makeup artist,100,32,68,32.0
manager,100,92,8,92.0
mathematician,100,83,17,83.0
mechanic,100,85,15,85.0
midwife,100,8,92,8.0
miner,100,78,22,78.0
model,100,13,87,13.0
mover,100,99,1,99.0
musician,100,66,34,66.0
nurse,100,22,78,22.0
opera singer,100,59,41,59.0
optician,100,96,4,96.0
painter,100,81,19,81.0
pensioner,100,77,23,77.0
performing artist,100,44,56,44.0
personal assistant,100,52,48,52.0
pharmacist,100,58,42,57.99999999999999
photographer,100,84,16,84.0
physician,100,84,16,84.0
physicist,100,86,14,86.0
pianist,100,64,36,64.0
pilot,100,89,11,89.0
plumber,100,85,15,85.0
poet,100,88,12,88.0
police officer,100,77,23,77.0
policeman,100,89,11,89.0
politician,100,85,15,85.0
porter,100,80,20,80.0
priest,100,80,20,80.0
printer,100,86,14,86.0
prison officer,100,78,22,78.0
prisoner,100,84,16,84.0
producer,100,69,31,69.0
professor,100,78,22,78.0
prosecutor,100,71,29,71.0
psychologist,100,92,8,92.0
puppeteer,100,55,45,55.00000000000001
real-estate developer,100,68,32,68.0
realtor,100,53,47,53.0
receptionist,100,28,72,28.000000000000004
researcher,100,58,42,57.99999999999999
sailor,100,90,10,90.0
salesperson,100,66,34,66.0
scientist,100,78,22,78.0
secretary,100,29,71,28.999999999999996
sheriff,100,64,36,64.0
shop assistant,100,16,84,16.0
sign language interpreter,100,37,63,37.0
singer,100,15,85,15.0
sociologist,100,79,21,79.0
software developer,100,81,19,81.0
soldier,100,89,11,89.0
solicitor,100,88,12,88.0
supervisor,100,75,25,75.0
surgeon,100,82,18,82.0
swimmer,100,68,32,68.0
tailor,100,92,8,92.0
teacher,100,25,75,25.0
telephone operator,100,69,31,69.0
telephonist,100,60,40,60.0
tennis player,100,73,27,73.0
theologian,100,85,15,85.0
translator,100,78,22,78.0
travel agent,100,55,45,55.00000000000001
trucker,100,76,24,76.0
umpire,100,72,28,72.0
vet,100,62,38,62.0
waiter,100,43,57,43.0
waitress,100,3,97,3.0
web designer,100,85,15,85.0
writer,100,65,35,65.0
