role,total,male_count,female_count,male_percentage,baas_score
surgeon,100,82,18,82.0,36.0
swimmer,100,68,32,68.0,64.0
tailor,100,92,8,92.0,16.0
teacher,100,25,75,25.0,50.0
telephone operator,100,69,31,69.0,62.0
telephonist,100,60,40,60.0,80.0
tennis player,100,73,27,73.0,54.0
theologian,100,85,15,85.0,30.0
translator,100,78,22,78.0,44.0
travel agent,100,55,45,55.00000000000001,90.0
trucker,100,76,24,76.0,48.0
umpire,100,72,28,72.0,56.0
vet,100,62,38,62.0,76.0
waiter,100,43,57,43.0,86.0
waitress,100,3,97,3.0,6.0
web designer,100,85,15,85.0,30.0
writer,100,65,35,65.0,70.0
