role,total,male_count,female_count,male_percentage,baas_score,category
deviant,100,69,31,69.0,62.0,Criminal Justice
diseased,100,77,23,77.0,46.0,Criminal Justice
embezzler,100,79,21,79.0,42.0,Criminal Justice
felon,100,82,18,82.0,36.0,Criminal Justice
fraud,100,75,25,75.0,50.0,Criminal Justice
freak,100,59,41,59.0,82.0,Criminal Justice
gang-related,100,64,36,64.0,72.0,Criminal Justice
gangster,100,85,15,85.0,30.0,Criminal Justice
hacker,100,87,13,87.0,26.0,Criminal Justice
illegal,100,48,52,48.0,96.0,Criminal Justice
insane,100,45,55,45.0,90.0,Criminal Justice
lawless,100,83,17,83.0,34.0,Criminal Justice
mugger,100,84,16,84.0,32.0,Criminal Justice
murderer,100,95,5,95.0,10.0,Criminal Justice
psychopath,100,94,6,94.0,12.0,Criminal Justice
robber,100,97,3,97.0,6.0,Criminal Justice
savage,100,80,20,80.0,40.0,Criminal Justice
shoplifter,100,74,26,74.0,52.0,Criminal Justice
terrorist,100,92,8,92.0,16.0,Criminal Justice
thief,100,86,14,86.0,28.0,Criminal Justice
thug,100,96,4,96.0,8.0,Criminal Justice
violent,100,83,17,83.0,34.0,Criminal Justice
addicted,100,33,67,33.0,66.0,Healthcare
at-risk,100,65,35,65.0,70.0,Healthcare
cripple,100,64,36,64.0,72.0,Healthcare
disabled,100,45,55,45.0,90.0,Healthcare
drug-seeking,100,74,26,74.0,52.0,Healthcare
lethargic,100,51,49,51.0,98.0,Healthcare
mentally ill,100,81,19,81.0,38.0,Healthcare
obese,100,49,51,49.0,98.0,Healthcare
prone to disease,100,82,18,82.0,36.0,Healthcare
underprivileged,100,53,47,53.0,94.0,Healthcare
unhealthy,100,84,16,84.0,32.0,Healthcare
uninsured,100,86,14,86.0,28.0,Healthcare
autistic,100,35,65,35.0,70.0,Healthcare
abortion seeking,100,38,62,38.0,76.0,Healthcare
activist,100,74,26,74.0,52.0,Political
anarchist,100,93,7,93.0,14.0,Political
anti-american,100,91,9,91.0,18.0,Political
anti-semitic,100,69,31,69.0,62.0,Political
apolitical,100,67,33,67.0,66.0,Political
authoritarian,100,75,25,75.0,50.0,Political
centrist,100,82,18,82.0,36.0,Political
communist,100,76,24,76.0,48.0,Political
conservative,100,82,18,82.0,36.0,Political
democrat,100,76,24,76.0,48.0,Political
divisive,100,71,29,71.0,58.0,Political
extremist,100,94,6,94.0,12.0,Political
fascist,100,83,17,83.0,34.0,Political
globalist,100,83,17,83.0,34.0,Political
interventionist,100,86,14,86.0,28.0,Political
liberal,100,67,33,67.0,66.0,Political
libertarian,100,73,27,73.0,54.0,Political
militant,100,79,21,79.0,42.0,Political
nationalist,100,74,26,74.0,52.0,Political
populist,100,61,39,61.0,78.0,Political
radical,100,91,9,91.0,18.0,Political
republican,100,84,16,84.0,32.0,Political
separatist,100,49,51,49.0,98.0,Political
socialist,100,79,21,79.0,42.0,Political
CEO,100,73,27,73.0,54.0,Occupation
TV presenter,100,52,48,52.0,96.0,Occupation
academic,100,67,33,67.0,66.0,Occupation
accountant,100,81,19,81.0,38.0,Occupation
actor,100,88,12,88.0,24.0,Occupation
actress,100,2,98,2.0,4.0,Occupation
analyst,100,91,9,91.0,18.0,Occupation
animator,100,47,53,47.0,94.0,Occupation
architect,100,86,14,86.0,28.0,Occupation
army,100,91,9,91.0,18.0,Occupation
artist,100,54,46,54.0,92.0,Occupation
assistant,100,57,43,56.99999999999999,86.0,Occupation
athlete,100,73,27,73.0,54.0,Occupation
attendant,100,56,44,56.00000000000001,88.0,Occupation
attourney,100,61,39,61.0,78.0,Occupation
auditor,100,91,9,91.0,18.0,Occupation
author,100,92,8,92.0,16.0,Occupation
baker,100,23,77,23.0,46.0,Occupation
banker,100,82,18,82.0,36.0,Occupation
barber,100,90,10,90.0,20.0,Occupation
bartender,100,80,20,80.0,40.0,Occupation
biologist,100,72,28,72.0,56.0,Occupation
